corrupt;yozlaşmış
cowpat;sığır pisliği
cowslip;çuhaçiçeği
cox;dümenci
coxa;coxa
coxcomb;bobstil
coxcombry;coxcombry
coxswain;dümen kullanmak
coy;çekingen
coyness;naz
coyote;çakal
coypu;Şili kunduzu
cozen;dolandırmak
cozy;Rahat
crab apple;yaban elması
crab louse;kasık biti
crab;Yengeç
crabbed;darmadağın
crabbing;crabbing
crabby;huysuz
crack a joke;şaka çatlak
crack down;çökertmek
crack of doom;kıyamet günü
crack up;sinir krizi geçirmek
crack;çatlak
crackdown;sıkı önlem
cracked;çatlamış
cracker;kraker
crackers;kraker
cracking;çatlama
crackle;çatırtı
crackling;çatırdama
crackpot;çılgın
crackup;sinir krizi geçirmek
cradle of civilization;uygarlığın beşiği
cradle;beşik
cradlesong;ninni
craft;zanaat
craftily;craftily
craftiness;kurnazlık
crafts;el sanatları
craftsman;usta
craftsmanship;ustalık
crafty;kurnaz
crag;kayalık
cragged;cragged
craggy;sarp
cram;tıkmak
cram-full;tıka basa dolu
cramp;kramp
cramped;Sıkışık
crampon;krampon
cranage;vinç hizmetleri
cranberry;Kızılcık
crane truck;vinç kamyon
crane;vinç
cranebill;cranebill
cranial cavitiy;kranial kavite
cranial nerve;kranial sinir
cranial;kafatası
craniology;kafabilim
cranium;kafatası
crank arm;krank kolu
crank web;krank yanağı
crank;krank
crankcase;karter
crankshaft;krank
cranky;huysuz
cranny;sığınak
crap;bok
crape;krep
craps;kreps
crapulence;sarhoşluk
crash about one's ears;Kişinin kulakları kazasında
crash dive;kilitlenme dalış
crash helmet;kask
crash landing;mecburi iniş
crash;kaza
crash-land;mecburi iniş yapmak
crass;dangalak
crate;sandık
crater lake;krater Gölü
crater;krater
cravat;kravat
crave;yalvarmak
craven;namert
craving;özlem
craw;kursak
crawfish;kerevides
crawl;yavaş ilerleme
crawler;paletli
crayfish;kerevit
crayon;pastel boya
craze;çılgınlık
craziness;delilik
crazing;İnce çatlaklar
crazy;çılgın
creak;gıcırtı
creaky;gıcırtılı
cream cheese;krem peynir
cream of tartar;tartar kremi
cream of the crop;mahsulünün krem
cream;krem
creamer;sütlük
creamery;süthane
creamy;kremsi
crease;kırışık
crease-proof;buruşmaz
crease-resistant;Kırışma önleyici
create a stink;kıyameti oluşturmak
create jobs;iş yarat
create;yaratmak
creatine;kreatin
creatinine;kreatinin
creation;oluşturma
creative power;yaratıcı güç
creative;yaratıcı
creativity;yaratıcılık
creator;yaratıcı
creature comforts;yaratık konforları
creature;yaratık
creche;kreş
credence;itimat
credentials;kimlik bilgileri
credibility;güvenilirlik
credible;inandırıcı
credit account;kredi hesabı
credit advice;kredi tavsiyesi
credit agency;kredi ajansı
credit agent;kredi ajan
credit agreement;kredi anlaşması
credit application;kredi başvurusu
credit balance;kredi dengesi
credit bank;kredi bankası
credit card;kredi kartı
credit control;kredi kontrolü
credit department;kredi depatmanı
credit interest;kredi faiz
credit limit;kredi limiti
credit line;kredi limiti
credit market;kredi piyasası
credit money;kredi karşılığı
credit note;kredi notu
credit period;kredi dönemi
credit rating;kredi notu
credit standing;kredi ayakta
credit system;kredi sistemi
credit target;kredi hedefini
credit terms;kredi koşulları
credit;kredi
creditable;beğenilen
crediting;kredilendirme
creditor;alacaklı
creditor's ledger;alacaklının defteri
credits and titles;kredi kartı
creditworthiness;kredi değerliliği
credulity;saflık
credulous;saf
creed;inanç
creek;dere
creel;balık sepeti
creep;sürünme
creepage;dağılma
creeper;sarmaşık
creeping stem;sürünen kök
creeping;sürünen
creeps;sürüngenler
creepy;ürpertici
cremate;ölü yakmak
cremation;ölü yakma
crematorium;krematoryum
crenate;çentikli
crenel;mazgal
crenellated;mazgallı
crenellation;mazgallı siper
creole;creole
creosote;kreozot
crepe de Chine;krep de Chine
crepe Georgette;krep Georgette
crepe paper;krepon kâğıdı
crepe rubber;krep kauçuk
crepe suzette;krepsüzet
crepe yarn;krep ipliği
crepe;krep
crepitate;çatırdamak
crescendo;kreşendo
crescent wrench;ingiliz anahtarı
crescent;hilâl
cresol;krezol
cress;tere
cresset;kandil
crest;ibik
crestfallen;üzgün
cresyl;cresyl
cresylic acid;cresylic asit
cretaceous period;kretase dönemi
cretaceous;kretase
Cretan;Girit
Crete;Girit
cretin;salak
cretinism;kretinizm
cretonne;kreton
crevasse;yarık
crevice;çatlak
crew cut;asker traşı
crew;mürettebat
crew-neck;mürettebat yaka
crib;beşik
cribbage;bir tür iskambil oyunu
cribriform;kalbur gibi
cribwork;cribwork
crick;boyun tutulması
cricket;kriket
cricoid;krikoid
crier;tellal
crime against humanity;İnsanlığa karşı suç
crime rate;Suç oranı
crime reporter;suç muhabiri
crime writer;suç yazarı
crime;suç
Crimea;Kırım
criminal assault;ırza tecavüz
criminal contempt;ceza hor
criminal conversation;zina
criminal court;suç Mahkemesi
criminal discretion;ceza takdirine
criminal law;ceza Hukuku
criminal liability;cezai sorumluluğu
criminal medicine;ceza tıp
criminal record;sabıka kaydı
criminal;adli
criminality;suç
criminology;kriminoloji
crimp;kıvrım
crimson;kıpkırmızı
cringe;yaltaklanmak
cringle;cringle
crinite;kıllı
crinkle;kırışık
crinoid;deniz lâlesi
crinoline;kabarık etek
cripple;sakat
crippled;sakat
crisis;kriz
crisp;gevrek
crispate;crispate
crispation;crispation
crispy;gevrek
crisscross;çaprazımsı
crista;krista
cristate;cristate
cristobalite;Cristobalit
criterion;kriter
critic;eleştirmen
critical angle;Kritik açı
critical point;kritik nokta
critical range;kritik aralık
critical temperature;Kritik sıcaklık
critical voltage;kritik gerilim
critical;kritik
criticism;eleştiri
criticize;eleştirmek
critique;eleştiri
croak;gaklamak
Croat;Hırvat
Croatia;Hırvatistan
Croatian;Hırvat
crochet hook;dantel tığı
crochet;kroşe
crock;güveç
crockery;çanak çömlek
crocodile tears;timsah gözyaşları
crocodile;timsah
crocus;çiğdem
croft;küçük çiftlik
crofter;çiftçi
croissant;kruvasan
crone;kocakarı
crony;kafadar
crook;dolandırıcı
crooked;çarpık
croon;mırıldanmak
crop failure;kırpma hatası
crop insurance;mahsul sigortası
crop plant;ekin bitkisi
crop rotation;ürün rotasyonu
crop up;ortaya çıkmak
crop;ekin
cropper;ekin
croquet;kroket
crosier;piskopos asası
cross action;karşı dava
cross check;çapraz kontrol
cross country race;kros yarışı
cross demand;çapraz talep
cross member;travers
cross off;kapalı çapraz
cross one's fingers;Çapraz kişinin parmakları
cross one's legs;bağdaş kurmak
cross one's mind;aklına gelmek
cross out;çizmek
cross rate;çapraz kur
cross ratio;çapraz oranı
cross reference;çapraz referans
cross section;enine kesit
cross someone's palm;Birinin avuç çapraz
cross street;çapraz Sokak
cross the't' and dot the'i's;Çapraz the't' ve nokta the'i en
cross;çapraz
cross-border;Sınır ötesi
cross-country race;kros yarışı
cross-country;Memleket boyunca
cross-examine;sorguya çekmek
cross-eyed;şaşı
cross-fertilization;Çapraz döllenme
cross-fertilize;Çapraz gübreleme
cross-legged;bacak bacak üstüne atmış
cross-lode;Çapraz damarı
cross-pollination;Çapraz döllenme
cross-purposes;zıtlık
cross-refer;Çapraz bakınız
cross-stitch;kanaviçe
cross-wind;Çapraz rüzgar
crossband;crossband
crossbar;kol demiri
crossbeam;kuşak kirişi
crossbow;yaylı tüfek
crossbrace;çapraz bağ
crossbracing;çapraz takviye
crossbred;melez
crossbreed;melez
crossbreeding;melez yetiştirme
crosscheck;çapraz kontrol
crosscountry;Memleket boyunca
crosscut saw;kertik testeresi
crosscut;enine
crosscutrents;crosscutrents
crossed cheque;çizgili çek
crossed;çarpı
crossfall;enine eğim
crossfire;crossfire
crosshatch;crosshatch
crosshatching;çapraz kırma
crosshead;sütunlar arası makale başlığı
crossing;geçit
crossover;karşıdan karşıya geçmek
crossroad;kavşak
crossroads;kavşak
crosstalk;çapraz
crosstree;crosstree
crosswalk;yaya geçidi
crosswind;yan rüzgar
crosswise;çapraz
crossword puzzle;çapraz bulmaca
crossword;bulmaca
crotch;çatal
crotchet;dörtlük
crotchety;huysuz
croton oil;kroton yağı
croton;kroton
crotonyl;krotonil
crouch;çömelmek
croupier;krupiye
crow one's head off;Kişinin kafasını karga
crow;karga
crow's-foot;ince kırışıklar ayak
crowbar;levye
crowd out;dışarı kalabalık
crowd;kalabalık
crowded profession;rağbet gören meslek
crowded;kalabalık
crowfoot;düğünçiçeği
crown it all;Hepsini taç
crown jewels;saray mücevherleri
crown land;taç arazi
crown prince;Veliaht Prens
crown;taç
crowning achievement;taçlandırılmış edinim
crowning;parlak
crucial;çok önemli
crucible steel;dökme çelik
crucible;pota
crucify;çarmıha germek
crude fibre;ham lif
crude oil;ham petrol
crude petroleum;Ham petrol
crude rate;ham kuru
crude tar;ham katran
crude;ham
crudely;kabaca
crudeness;hamlık
crudity;kabalık
cruel;acımasız
cruelty;acımasızlık
cruet;şişe
cruise;seyir
cruiser;kruvazör
cruising speed;seyir hızı
crumb;kırıntı
crumble;ufalamak
crumbly;ufalanan
crummy;köhne
crumpet;fıstık
crumple;çökmek
crunch;çatırtı
crunchy;gevrek
cruse;küp
crush;ezmek
crusher;öğütücü
crushing;ezme
crust of the earth;yeryüzünün kabuğu
crust;kabuk
crustacean;kabuklulardan
crustaceous;kabuklu
crusty;huysuz
crutch;koltuk değneği
crux;püf noktası
cry down;kötülemek
cry for the moon;Ay için ağlamak
cry off;caymak
cry one's eyes out;Kişinin gözlerini ağlamak
cry one's heart out;Kişinin kalbini cry
cry out against;karşı haykırmak
cry out for;için feryat
cry out;haykırmak
cry over spilt milk;Dökülen süte aşırı ağlama
cry quits;ağlamak kapanıyor
cry wolf;ağlamak Kurt
cry;Ağla
crying;ağlayan
cryo;cryo
cryogen;dondurucu kimyasal madde
cryogenic;kriyojenik
cryogenics;kriyojeni
cryohydrate;cryohydrate
cryolite;soğuktaş
cryometer;cryometer
cryoscopic;cryoscopic
cryoscopy;Kriyoskopi
crypt;crypt
cryptic;şifreli
crypto;kripto
cryptogam;çiçeksiz bir bitki türü
cryptogram;kriptogram
cryptograph;kriptograf
cryptography;kriptografi
crystal lattice;kristal kafes
crystal structure;kristal yapı
crystal sugar;kristal şeker
crystal symmetry;kristal simetrisi
crystal;kristal
crystalline rock;kristal kaya
crystalline structure;Kristal yapı
crystallite;kristalinite
crystallization;kristalleşme
crystallize;billurlaştırmak
crystallizer;kristalleştirici
crystallographic;kristalografik
crystallography;kristalografi
cub reporter;muhabirim
cub;yavru
Cuba;Küba
cubage;hacmini hesaplama
Cuban;Kübalı
cubature;küpleme
cube root;küp kökü
cube;küp
cubic antenna;kübik anten
cubic centimetre;kübik santimetre
cubic equation;kübik denklemi
cubic foot;kübik ayak
cubic meter;metreküp
cubic system;kübik sistem
cubic;kübik
cubical;kübik
cubicle;hücre
cubit;eski bir uzunluk ölçüsü birimi
cuckold;boynuzlamak
cuckoldry;cuckoldry
cuckoo clock;guguklu saat
cuckoo;guguk
cucullate;cucullate
cucumber;salatalık
cud;geviş
cuddle up;kucaklaşmak
cuddle;sarılmak
cuddly;sevimli
cuddy;odacık
cudgel one's brains;kafa patlatmak
cudgel;çomak
cue;isteka
cuff link;kol düğmesi
cuff;manşet
cuirass;zırh
cuisine;mutfak
cul-de-sac;çıkmaz sokak
cule;majuscule
culinary;mutfak
cull;ıskartaya çıkarmak
cullender;süzgeç
culm;kalitesiz antrasit
culminate;sonuçlanmak
culmination;doruk
culpability;suçluluk
culpable;kabahatli
culprit;suçlu
cult;tarikat
cultivable;ekilebilir
cultivate a friendship;Bir dostluk yetiştirmek
cultivate;yetiştirmek
cultivated land;ekili arazi
cultivated plant;ekili bitki
cultivated;ekili
cultivation;yetiştirme
cultivator;ekici
cultural anthropology;kültürel antropoloji
cultural committee;kültürel komitesi
cultural ecology;kültürel ekoloji
cultural heritage;kültürel Miras
cultural language;kültürel dil
cultural mission;kültürel misyon
cultural value;kültürel değer
cultural;kültürel
culture gap;kültür farkı
culture shock;Kültür şoku
culture;kültür
cultured;kültürlü
culvert;elektrik kablo borusu
cum;boşalmak
cumber;sıkmak
cumbersome;hantal
cumin;kimyon
cummerbund;kuşak
cumulative dividend;kümülatif kar
cumulative;Kümülatif
cumulonimbus;cumulonimbus
cumulostratus;cumulostratus
cumulus;kümülüs
cuneiform script;çivi yazısı
cuneiform;çiviyazısı
cunnilingus;cunnilingus
cunning;kurnaz
cunt;am
cup;Fincan
cupboard;dolap
cupel;maden potası
cupful;fincan dolusu miktar
cupidity;hırs
cupola furnace;Döküm ocağı fırını
cupola;kubbe
cupreous;bakırlı
cupric;bakır
cuprite;Kuprit
cupro-nickel;cupro nikel
cuprous sulphide;bakır sülfit
cuprous;bakır
cupule;cupule
cur;sokak köpeği
curable;iyileştirilebilir
curare;kürar
curative;iyileştirici
curator;müze müdürü
curb;zapt etmek
curbstone;kaldırım taşı
curd;Lor
curdle;kesilmek
cure;Çare
cure-all;her derde deva
cured cod;füme morina
curettage;kürtaj
curette;küret
curfew;sokağa çıkma yasağı
curie;küri
curing;sertleştirme
curio;antika
curiosity;merak
curious;Meraklı
curium;curium
curl one's lip;bukle kişinin dudak
curl sb's hair;sb saçına bukle
curl up;kıvrılmak
curl;bukle
curler;bigudi
curlew;çulluk
curling iron;saç maşası
curling;kıvırma
curly;Kıvırcık
curly-top;kıvırcık üst
curmudgeon;cimri tip
currant;Frenk üzümü
currency account;Döviz Hesabı
currency in circulation;dolaşımdaki para
currency indexed;para endeksli
currency inflation;para enflasyonu
currency issued;para yayınladı
currency reform;para reformu
currency risk;döviz riski
currency system;para sistemi
currency trade;para ticareti
currency unit;para birimi
currency;para birimi
current account;mevcut hesap
current capital;geçerli sermaye
current debt;Mevcut borç
current density;akım yoğunluğu
current efficiency;geçerli etkinlik
current events;güncel olaylar
current exchange rate;Mevcut kur
current expenditure;cari harcamalar
current expenses;şimdiki giderler
current income;cari gelir
current liability;Şimdiki sorumluluk
current operations;geçerli operasyonlar
current payments;cari ödemeler
current price;Mevcut fiyat
current ratio;Şimdiki oran
current value;Mevcut değer
current;şimdiki
currently;şu anda
curriculum vitae;özgeçmiş
curriculum;Müfredat
currish;currish
curry favor with;yaranmaya
curry favour with;yaranmaya
curry;köri
currycomb;kaşağı
curse;lanet
cursed;lanetli
cursive;el yazısı
cursor;kürsör
cursorial;cursorial
cursory;Gösterişli
curt;kısa
curtail step;adımı kısaltmak
curtail;kısaltmak
curtailment;kısaltma
curtain antenna;perde anten
curtain raiser;Perde kaldırıcı
curtain ring;perdesi halkası
curtain rod;perde çubuk
curtain;perde
curtness;hırtlık
curtsy;reverans
curvaceous;düzgün vücutlu
curvature;eğrilik
curve chart;eğrisi grafik
curve;eğri
curved line;eğri çizgi
curved;kavisli
curvet;şaha kalkmak
curvilinear;eğrilerden oluşan
curvy;düzgün vücutlu
cushion;minder
cushioning;yastıklama
cushy;rahat
cusp;doruk
cuspid;köpek dişi
cuspidate;dilimli
cuspidor;tükürük hokkası
cuss;küfür
cussedness;inatçılık
custard apple;Hint ayvası
custard;muhallebi
custodian;bekçi
custodianship;vasi
custody;gözaltı
custom made;özel yapılmış
custom union;özel birlik
custom;görenek
customarily;alışıldığı gibi
customary;alışılagelmiş
customer country;müşteri ülke
customer;müşteri
customer-oriented;Müşteri odaklı
customer's account;müşterinin hesap
customize;özelleştirmek
customs agent;Gümrük acentası
customs and traditions;gelenek ve görenekler
customs area;gümrük alanı
customs barriers;gümrük engelleri
customs broker;Gümrük komisyoncusu
customs declaration;Gümrük beyannamesi
customs duty;gümrük vergisi
customs entry;özel giriş
customs examiner;gümrük muayene
customs formalities;gümrük formaliteleri
customs free;ücretsiz gümrük
customs house report;gümrük dairesi raporu
customs house;Gümrük Dairesi
customs inspection;gümrük kontrolü
customs law;gümrük kanunu
customs of arrival;varış gümrük
customs officer;Gümrük memuru
customs receipt;gümrük makbuzu
customs revenue;gümrük geliri
customs tariff;gümrük tarifesi
customs territory;gümrük bölgesi
customs union;Gümrük Birliği
customs wall;gümrük duvarı
customs walls;gümrük duvarları
customs;Gümrük
cut a big swath;Büyük bir şeridi kesmek
cut a tooth;diş çıkarmak
cut a wide swath;geniş bir tarama alanı kesmek
cut across;geniş kapsamlı olmak
cut adrift;sürüklenmeye bırakmak
cut and dried;kesme ve kurutulmuştur
cut and run;kes ve koş
cut back;azaltmak
cut corners;köşeleri kesin
cut down on;kısmak
cut down;kesmek
cut in;kesilmiş
cut into small pieces;küçük parçalar halinde kesilmiş
cut into;halinde kesilmiş
cut loose;cıvıtmak
cut nail;tırnak kesmek
cut no ice;hiç buz kesti
cut off;ayırmak
cut one's cables;Kişinin kablolarını kesti
cut one's coat according to one's cloth;Kişinin ayağını yorganına göre uzatmak
cut one's eyeteeth on;üzerinde kişinin eyeteeth kesti
cut one's own throat;bindiği dalı kesmek
cut one's wisdom tooth;Kişinin yirmilik diş kesti
cut oneself adrift;kendini akıntıya bırakmak
cut out for sth;sth kesip
cut out the dead wood;Ölü odun kesip
cut out;kesmek
cut sb dead;kesim sb ölü
cut sb down to size;aşağı boyutuna fiil kesti
cut sb off with a shilling;Bir şilin ile fiil kesti
cut sb to the quick;Hızlı kesme sb
cut short;kısa kesmek
cut stone;kesme taştan
cut the cackle;gevezeliği kes
cut the Gordian knot;Yırtmak
cut the ground from under sb's feet;sb ayaklarının altındaki zeminde kesilen
cut the painter;ilgiyi kesmek
cut to the bone;kemiğe kesti
cut up;dilimlemek
cut;kesmek
cut-price shop;cut-fiyat dükkanı
cut-price;cut-fiyat
cut-rate;kesme hızı
cutaneous;cilt
cutback;azaltmak
cute;sevimli
cuticle;kütikül
cutie;tatlı
cutis;kütis
cutlass;pala
cutler;bıçakçı
cutlery;çatal bıçak takımı
cutlet;pirzola
cutoff point;kesim noktası
cutoff statement;kesim deyimi
cutoff;ayırmak
cutout box;şalter kutusu
cutout;kesmek
cutter;kesici
cutthroat competition;kıyasıya rekabet
cutthroat;kıyasıya
cutting;kesme
cuttle;cuttle
cuttlefish;mürekkepbalığı
cuttler;Cuttler
cutwater;cutwater
cyanamide;siyanamid
cyanate;siyanat
cyanic acid;siyanik asit
cyanic;siyanik
cyanidation;siyanürleme
cyanide;siyanür
cyanine;cyanine
cyanogen;siyanojen
cyanohydrin;sıyanohıdrin
cybernetician;sibernetikçi
cybernetics;sibernetik
cyclamen;siklâmen
cycle track;Bisiklet parkuru
cycle;Çevrim
cyclic compound;halkalı bileşik
cyclic;halkalı
cyclical;konjonktürel
cyclist;bisikletçi
cyclobutane;siklobutan
cyclogenesis;siklon gelişimi
cyclogram;cyclogram
cyclograph;cyclograph
cyclohexane;sikloheksan
cyclohexylamine;sikloheksilamin
cycloid;yuvarlanma eğrisi
cycloidal;cycloidal
cyclometer;çemberölçen
cyclone;siklon
cyclopean;kiklop
cyclopedia;ansiklopedi
cyclopedic;Ansiklopedik
cyclopropane;siklopropan
cyclorama;siklorama
cyclotron;kiklotron
cygnet;kuğu yavrusu
cylinder bore;silindir çapı
cylinder cock;silindir horoz
cylinder;silindir
cylindrical;silindirik
cylindroid;cylindroid
cyma;pervaz
cymbal;zil
cymbalist;zil çalan müzisyen
cymene;simen
cymose;cymose
cynic;kinik
cynical;alaycı
cynicism;kinizm
cypher;şifre
cypress;selvi
Cyprian;Kıbrıslı
cyprinoid;cyprinoid
Cypriote;Kıbrıslı
Cyprus;Kıbrıs
cyst;kist
cysteine;sistein
cystine;sistin
cystitis;sistit
cystoscope;sistoskopu
cyte-;cyte-
cyto-;sito-
cytochrome;sitokrom
cytokinesis;sitokinez
cytologic;sitolojik
cytologist;sitolog
cytology;sitoloji
cytoplasm;sitoplazma
cytosine;sitozin
czar;çar
Czech republic;Çek Cumhuriyeti
Czech;Çek
Czechoslovakia;Çekoslovakya
dab;kurulamak
dabber;gör dabber
dabble;serpmek
dabbler;amatör
dabster;usta
dace;çamça
dacha;villa
dachshund;daksund
dactyl;bir şiir ölçüsü
dactylogram;parmak izi
dactylography;dactylography
dad;baba
Dadaism;Dadaizm
Dadaist;dadaist
daddy;baba
dado;taban taşı
daemon;şeytan
daffodil;nergis
daffy;daffy
daft;kaçık
dagger;hançer
Daghistan;Dağıstan
dago;Büyük Okyanus adaları yerlisi
dahlia;dalya
dailies;gazete
daily benefits;günlük faydaları
daily bread;Günlük ekmek
daily bulletin;günlük bülten
daily collection;günlük koleksiyon
daily double;çift ​​günlük
daily exchange rate;Günlük döviz kuru
daily interest rate;Günlük faiz oranı
daily interest;Günlük ilgi
daily pay;günlük ödeme
daily product;günlük ürün
daily receipt;günlük makbuz
daily report;Günlük rapor
daily sale;günlük satış
daily wage;Günlük yevmiye
daily wages;günlük yevmiye
daily want;günlük Talep
daily;günlük
daintiness;zarafet
dainty;zarif
daiquiri;rom ve limonlu koktely
dairy cattle;süt ineği
dairy farm;Mandıra Çiftliği
dairy products;Günlük Ürünler
dairy;Mandıra
dairymaid;sütçü kız
dairyman;sütçü
dais;kürsü
daisy;papatya
daisywheel;Papatya çarkı
dale;vadi
dalliance;oyalanma
dally with;ile dally
dally;zaman öldürmek
Dalmatia;Dalmaçya
dalmatian;Dalmaçyalı
daltonism;daltonizm
dam;baraj
damage free;ücretsiz hasarı
damage of inflation;enflasyon zararı
damage;hasar
damageable;bozulabilir
damaged to property;mülke zarar
damaged;hasarlı
damages insurance;hasarlar sigorta
damages;tazminat
damaging;zarar verici
damask;damasko
dame;kadın
damn all;lanet hepsi
Damn it!;Lanet olsun!
damn well;çok iyi
damn;Lanet olsun
damnable;lanetli
damnation;lanet
damned;lanetli
damning;ezici
damp;nemli
damped;sönümlü
dampen;kırmak
damper;amortisör
damping;ıslatma
dampish;nemli
dampness;nem
dampproof;yetersiz kanıt
damsel;genç kız
damson;mürdümeriği
dance attendance on;dans katılım
dance hall;dans salonu
dance;dans
dancer;dansçı
dancing girl;dansçı kız
dancing lesson;dans dersi
dancing master;dans hocası
dancing;dans
dandelion;karahindiba
dandified;çıtkırıldım
dandle;okşamak
dandruff;kepek
dandy;züppe
dandyism;züppelik
Dane;Danimarkalı
danger class;tehlike sınıfı
danger;Tehlike
dangerous;tehlikeli
dangle;sarkıtmak
Danish;Danimarkalı
dank;rutubetli
Danube;Tuna
daphne;defne
dapper;şık
dapple gray;dapple gri
dapple;beneklemek
dappled;benekli
daraf;daraf
darbies;kelepçe
Dardanelles;Çanakkale
dare;cesaret
daredevil;gözüpek
daresay;daresay
daring;cesur
dark blue;koyu mavi
dark horse;Kara At
dark room;karanlık oda
dark spot;karanlık nokta
dark spots;karanlık noktalar
dark star;Kara yıldız
dark;karanlık
dark-eyed;kara gözlü
darken;karartmak
darkish;siyahımsı
darkling;karanlık
darkly;esrarengiz biçimde
darkness;karanlık
darkroom;karanlık oda
darky;zenci
darling;sevgilim
darn;lanetlemek
darnel;darnel
darner;örgücü
darning egg;örgü yumurtası
darning needle;örgü iğnesi
darning yarn;örme ipliği
darning;örme
dart;Dart oyunu
dartboard;Dart tahtası
darts;dart
Darwinism;Darwinizm
dash off a letter;bir mektup karalamak
dash off;karalamak
dash sb's hopes;tire sb umutları
dash sth off;tire STH kapalı
dash;tire
dashboard;gösterge paneli
dashed line;kesik çizgi
dashed;kesik
dashing;şık
dashpot;dashpot
dastard;alçak kimse
dastardliness;adilik
dastardly;alçak
data bank;veri bankası
data base;veri tabanı
data center;veri merkezi
data channel;veri kanalı
data collection;veri koleksiyonu
data file;veri dosyası
data flow;veri akışı
data gathering;veri toplama
data group;veri grubu
data net;veri net
data processing;veri işleme
data record;bilgi kaydı
data source;veri kaynağı
data storage;veri depolama
data;veri
date back to;geçmişe dayanmak
date draft;tarih taslak
date from;geçmişe dayanmak
date of death;Ölüm tarihi
date of dispatch;Sevk tarihi
date of draft;taslağın tarih
date of maturity;vade tarihi
date of payment;ödeme günü
date of record;kaydın tarih
date palm;hurma ağacı
date;tarih
dated;tarihli
dateless;tarihsiz
dating;escort
datival;dolaylı nesneyi gösteren
dative;datif
datolite;Datolit
datum;veri
datura;tatula
daub;sıvamak
dauber;acemi ressam
daughter;kız evlat
daughter-in-law;gelin
daunt;yıldırmak
dauntless;korkusuz
davenport;sedir
davit;matafora
davy lamp;davy lamba
daw;küçük karga
dawdle;ağır davranmak
dawn on sb;sb üzerine şafak
dawn;şafak
day after day;günden güne
day and night;gündüz ve gece
day by day;günden güne
day drift;gün sürüklenme
day in day out;dışarı gün gün
day labor;gün emek
day laborer;günlük işçi
day letter;kısa telgraf
day loan;gün kredi
day nursery;kreş
day of application;Uygulamanın gün
day of death;ölüm günü
day of payment;Ödeme günü
day of reckoning;hesaplaşma günü
day order;gün sipariş
day out;gün dışarı
day school;gunduz Okulu
day shift;gündüz vardiyası
day student;yatısız öğrenci
day;gün
day-to-day market;gün be gün pazar
day-to-day money;yevmiye
day-to-day;Günden güne
day's wage;Günün ücret
daybook;hatıra defteri
daybreak;şafak
daydream;hayâl
daydreamer;hayâlperest
daylight robbery;gündüz hırsızlığı
daylight saving time;günışıgından yararlanma süresi
daylight;gün ışığı
daylily;sarı zambak
daylong;Bir gün sürecek
days of grace;lütuf günler
days;günler
daytime;gündüz
daze;şaşkınlık
dazed;sersemlemiş
dazzle;pırıltı
dazzling;göz kamaştırıcı
de facto bankruptcy;fiili iflas
de facto recognition;fiili tanıma
de facto;fiili
de jure recognition;hukuki tanıma
de jure;yasal
de luxe;lüks
de trop;istenmedik
de-;de-
de-energize;gücü kesilir
de-escalate;azalmak
de-ionize;de-İyonize
deacidification;deasidifikasyonunu
deacidify;asidini gidermek
deactivate;devre dışı bırakmak
deactivation;etkisizleştirme
dead account;ölü hesap
dead ahead;ölü önde
dead and alive;Ölü ve diri
dead as a dodo;Bir dodo olarak ölü
dead ball;ölüm topu
dead beat;ölü yendi
dead capital;atıl sermaye
dead cargo;ölü kargo
dead centre;ölü nokta
dead drunk;körkütük sarhoş
dead end;çıkmaz sokak
dead head;ölü kafa
dead heat;berabere biten yarış
dead language;kullanılmayan dil
dead line;son tarih
dead load;ölü yük
dead loan;ölü kredi
dead loss;ölü kaybı
dead march;cenaze marşı
dead money;ölü para
dead nettle;ısırgan otu
dead point;ölü nokta
dead sale;ölü satış
Dead Sea;Ölü Deniz
dead season;ölüm sezonu
dead spot;ölü nokta
dead time;ölü zaman
dead to the world;dünyaya ölü
dead water;durgun su
dead weight;net ağırlık
dead;ölü
dead-end street;çıkmaz sokak
deadbeat;avantacı
deaden;duygusuzlaştırmak
deadlight;deadlight
deadline;son tarih
deadliness;aşırılık
deadlock;çıkmaz
deadly enemy;can düşmanı
deadly nightshade;Otu
deadly sin;affedilmez günah
deadly;ölümcül
deadness;kesat
deadpan;deadpan
deaerate;havasını
deaf and dumb;sağır ve dilsiz
deaf as a post;duvar gibi sağır
deaf;SAĞIR
deaf-mute;sağır-dilsiz
deafen;sağırlaştırmak
deal in;anlaşma
deal with;uğraşmak
deal;anlaştık mı
dealer;satıcı
dealing;muamele
dealings;iş ilişkisi
dean;dekan
deanery;dekanlık
Dear me!;Sevgili Ben!
dear;Sayın
dearly;pahalıya
dearness;pahalılık
dearth;kıtlık
deary;sevgili
death benefit;ölüm yardımı
death cell;ölüm hücresi
death certificate;ölüm sertifikası
death duty;veraset vergisi
death grant;cenaze yardımı
death knell;ölüm çanı
death penalty;ölüm cezası
death punishment;ölüm cezası
death rate;ölüm oranı
death rattle;Can çekişme sesleri, hırıltıları
death roll;ölüm rulo
death sentence;ölüm cezası
death struggle;ölüm mücadelesi
death throes;ölüm sancıları
death toll;ölenlerin sayısı
death trap;ölüm tuzağı
death warrant;ölüm fermanı
death;ölüm
deathbed;ölüm döşeği
deathblow;deathblow
deathless;ölümsüz
deathlike;ölüm gibi
deathly;öldürücü
deathtrap;ölüm tuzağı
deb;deb
debacle;fiyasko
debar;mahrum etmek
debase;küçük düşürmek
